Model Time, 23LT0001:MeasuredValue, 23LT0002:MeasuredValue, 23PT0001:MeasuredValue, 23PT0002:MeasuredValue, 23PT0003:MeasuredValue, 23FE0001:VolumeFlow, 23TT0003:MeasuredValue, 23LT0001:AlarmHighHigh, 23LT0001:AlarmLowLow, 23LT0001:AlarmHigh, 23LT0001:AlarmLow, 23LT0002:AlarmHighHigh, 23LT0002:AlarmHigh, 23LT0002:AlarmLow, 23LT0002:AlarmLowLow, 23PT0001:AlarmHighHigh, 23PT0001:AlarmHigh, 23PT0001:AlarmLow, 23PT0001:AlarmLowLow, 23LV0001:ValveStemPosition, 23LV0002:ValveStemPosition, 23TV0003:ValveStemPosition, 23UV0001:ValveStemPosition, 25ESV0001:ValveStemPosition, 23ESV0002:ValveStemPosition, 23ESV0003:ValveStemPosition, 23ESV0005:ValveStemPosition, 23KA0001_m:MachineSpeed
, mm, mm, barg, barg, barg, m3/h, C, , , , , , , , , , , , , fraction, fraction, fraction, fraction, fraction, fraction, fraction, fraction, rpm
000:16:51.00, 524.519, 1519.94, 24.4162, 24.3677, 50.3027, 8289.14, 44.6788, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.548955, 0.341396, 0.0271586, 0, 1, 1, 1, 1, 7874.86
000:16:54.00, 522.523, 1521.49, 24.8507, 24.5708, 50.385, 8984.82, 45.5849, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.547565, 0.342277, 0.0308281, 0, 1, 1, 1, 1, 7991.81
000:16:57.00, 519.028, 1519.51, 24.9697, 24.5933, 50.4239, 9356.11, 45.9453, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.542468, 0.341391, 0.0327576, 0, 1, 1, 1, 1, 8060.83
000:17:00.00, 514.713, 1515.16, 24.9796, 24.5664, 50.4432, 9558.09, 45.8955, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.535149, 0.339297, 0.033092, 0, 1, 1, 1, 1, 8108.22
000:17:03.00, 510.016, 1509.16, 24.955, 24.5244, 50.455, 9690.17, 45.7704, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.526593, 0.336356, 0.0327875, 0, 1, 1, 1, 1, 8148.23
000:17:06.00, 505.213, 1502.05, 24.9142, 24.4711, 50.4647, 9798.17, 45.7643, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.517431, 0.33282, 0.0327414, 0, 1, 1, 1, 1, 8184.5
000:17:09.00, 500.478, 1494.25, 24.8638, 24.412, 50.4724, 9888.47, 45.8567, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.508068, 0.328904, 0.0331038, 0, 1, 1, 1, 1, 8216.12
000:17:12.00, 495.922, 1486.1, 24.8103, 24.3527, 50.4782, 9962.6, 45.9579, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.498765, 0.324776, 0.0336105, 0, 1, 1, 1, 1, 8244.25
000:17:15.00, 492.667, 1478.63, 25.0027, 24.4932, 50.5014, 10072.1, 46.0727, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.490359, 0.320945, 0.0341282, 0, 1, 1, 1, 1, 8299.47
000:17:18.00, 493.017, 1475.95, 23.8256, 22.9695, 50.4542, 9952.89, 45.909, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.488342, 0.319485, 0.0342892, 0, 1, 1, 1, 1, 8251.8
000:17:21.00, 496.319, 1479.79, 22.8104, 22.2296, 50.3523, 9172.96, 44.8995, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.492891, 0.321296, 0.0323574, 0.00778329, 1, 1, 1, 1, 8065.93
000:17:24.00, 501.442, 1487.78, 22.7407, 22.5505, 50.232, 8314.62, 43.6325, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.502106, 0.325215, 0.0272791, 0.0287471, 1, 1, 1, 1, 7942.81
000:17:27.00, 506.911, 1497.64, 23.0839, 22.8212, 50.1932, 8251.71, 43.7264, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.51359, 0.330116, 0.026014, 0.0267561, 1, 1, 1, 1, 7941.21
000:17:30.00, 509.651, 1504.73, 23.925, 23.9593, 50.2509, 8683.23, 44.6594, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.521648, 0.333677, 0.0282525, 0.0139294, 1, 1, 1, 1, 7960.68
000:17:33.00, 509.561, 1507.29, 24.6586, 24.4088, 50.38, 9243.49, 45.6016, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.523622, 0.334991, 0.0314722, 0, 1, 1, 1, 1, 8099.44
000:17:36.00, 507.676, 1506.32, 24.7913, 24.3891, 50.4419, 9630.98, 46.2292, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.521289, 0.33454, 0.0342079, 0, 1, 1, 1, 1, 8172.15
000:17:39.00, 504.793, 1502.68, 24.782, 24.3466, 50.4609, 9804.74, 46.3105, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.516392, 0.332739, 0.0352789, 0, 1, 1, 1, 1, 8208.79
000:17:42.00, 501.408, 1497.2, 24.7506, 24.306, 50.4686, 9898.48, 46.1163, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.510057, 0.329997, 0.0349824, 0, 1, 1, 1, 1, 8236.66
000:17:45.00, 497.825, 1490.58, 24.7147, 24.2629, 50.4747, 9972.74, 46.0048, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.502983, 0.326648, 0.0346203, 0, 1, 1, 1, 1, 8263.76
000:17:48.00, 494.232, 1483.3, 24.6731, 24.2146, 50.4805, 10040, 46.0474, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.495604, 0.322939, 0.0347834, 0, 1, 1, 1, 1, 8287.77
000:17:51.00, 490.743, 1475.73, 24.6302, 24.1684, 50.4846, 10091.8, 46.1449, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.488191, 0.319043, 0.0352728, 0, 1, 1, 1, 1, 8308.09
000:17:54.00, 487.424, 1468.09, 24.5874, 24.1227, 50.4876, 10136.7, 46.2016, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.480911, 0.315078, 0.0357179, 0, 1, 1, 1, 1, 8326.66
