Model Time, 23LT0001:MeasuredValue, 23LT0002:MeasuredValue, 23PT0001:MeasuredValue, 23PT0002:MeasuredValue, 23PT0003:MeasuredValue, 23FE0001:VolumeFlow, 23TT0003:MeasuredValue, 23LT0001:AlarmHighHigh, 23LT0001:AlarmLowLow, 23LT0001:AlarmHigh, 23LT0001:AlarmLow, 23LT0002:AlarmHighHigh, 23LT0002:AlarmHigh, 23LT0002:AlarmLow, 23LT0002:AlarmLowLow, 23PT0001:AlarmHighHigh, 23PT0001:AlarmHigh, 23PT0001:AlarmLow, 23PT0001:AlarmLowLow, 23LV0001:ValveStemPosition, 23LV0002:ValveStemPosition, 23TV0003:ValveStemPosition, 23UV0001:ValveStemPosition, 25ESV0001:ValveStemPosition, 23ESV0002:ValveStemPosition, 23ESV0003:ValveStemPosition, 23ESV0005:ValveStemPosition, 23KA0001_m:MachineSpeed
, mm, mm, barg, barg, barg, m3/h, C, , , , , , , , , , , , , fraction, fraction, fraction, fraction, fraction, fraction, fraction, fraction, rpm
003:22:48.00,499.997,1499.99,23.9999,23.8018,50.2068,6712.01,44.9988,1,1,1,1,1,1,1,1,1,1,1,1,0.826676,0.473739,0.0205336,0,1,1,1,1,7546.86
003:23:24.00,499.95,1499.89,24,23.8019,50.2068,6712.1,44.9993,1,1,1,1,1,1,1,1,1,1,1,1,0.826563,0.473685,0.0205335,0,1,1,1,1,7546.85
003:24:00.00,499.988,1499.99,24.0011,23.8025,50.2073,6719.27,45.0037,1,1,1,1,1,1,1,1,1,1,1,1,0.826598,0.473728,0.0205518,0,1,1,1,1,7547.4
003:24:36.00,500.291,1500.76,24.0019,23.8025,50.2082,6733.43,45.0098,1,1,1,1,1,1,1,1,1,1,1,1,0.827259,0.474138,0.0205908,0,1,1,1,1,7548.7
003:25:12.00,500.862,1502.24,24.0029,23.8022,50.2095,6754.16,45.0183,1,1,1,1,1,1,1,1,1,1,1,1,0.828715,0.474963,0.0206524,0,1,1,1,1,7550.64
003:25:48.00,501.484,1503.92,24.0031,23.8016,50.2103,6766.79,45.0196,1,1,1,1,1,1,1,1,1,1,1,1,0.830663,0.475987,0.0206876,0,1,1,1,1,7552.01
003:26:24.00,502,1505.5,24.0029,23.8014,50.2108,6776.18,45.0164,1,1,1,1,1,1,1,1,1,1,1,1,0.832751,0.477063,0.020708,0,1,1,1,1,7553.06
003:27:00.00,502.381,1506.94,24.0015,23.799,50.2114,6786.09,45.0143,1,1,1,1,1,1,1,1,1,1,1,1,0.834843,0.47816,0.0207387,0,1,1,1,1,7554.2
003:27:36.00,502.633,1508.23,24.0019,23.7986,50.2122,6798.91,45.0153,1,1,1,1,1,1,1,1,1,1,1,1,0.836859,0.479262,0.020776,0,1,1,1,1,7555.48
003:28:12.00,502.772,1509.37,24.0023,23.7982,50.213,6811.85,45.0174,1,1,1,1,1,1,1,1,1,1,1,1,0.838766,0.480361,0.0208161,0,1,1,1,1,7556.77
003:28:48.00,502.826,1510.38,24.003,23.7981,50.2138,6824.32,45.0189,1,1,1,1,1,1,1,1,1,1,1,1,0.84056,0.481458,0.0208501,0,1,1,1,1,7558.06
003:29:24.00,502.824,1511.27,24.003,23.7981,50.2144,6833.78,45.016,1,1,1,1,1,1,1,1,1,1,1,1,0.842256,0.482556,0.0208705,0,1,1,1,1,7559.12
003:30:00.00,502.79,1512.06,24.0015,23.7956,50.215,6843.83,45.0141,1,1,1,1,1,1,1,1,1,1,1,1,0.843877,0.483649,0.0209013,0,1,1,1,1,7560.29
003:30:36.00,502.74,1512.75,24.0019,23.7952,50.2159,6856.75,45.0153,1,1,1,1,1,1,1,1,1,1,1,1,0.845436,0.484739,0.0209387,0,1,1,1,1,7561.62
003:31:12.00,502.684,1513.35,24.0024,23.7948,50.2167,6869.78,45.0174,1,1,1,1,1,1,1,1,1,1,1,1,0.846951,0.485825,0.020979,0,1,1,1,1,7562.95
003:31:48.00,502.632,1513.88,24.0031,23.7947,50.2175,6882.29,45.0189,1,1,1,1,1,1,1,1,1,1,1,1,0.848441,0.486908,0.0210131,0,1,1,1,1,7564.28
003:32:24.00,502.59,1514.35,24.003,23.7947,50.2181,6891.83,45.016,1,1,1,1,1,1,1,1,1,1,1,1,0.849923,0.487991,0.0210338,0,1,1,1,1,7565.38
