Model Time, 23LT0001:MeasuredValue, 23LT0002:MeasuredValue, 23PT0001:MeasuredValue, 23PT0002:MeasuredValue, 23PT0003:MeasuredValue, 23FE0001:VolumeFlow, 23TT0003:MeasuredValue, 23LT0001:AlarmHighHigh, 23LT0001:AlarmLowLow, 23LT0001:AlarmHigh, 23LT0001:AlarmLow, 23LT0002:AlarmHighHigh, 23LT0002:AlarmHigh, 23LT0002:AlarmLow, 23LT0002:AlarmLowLow, 23PT0001:AlarmHighHigh, 23PT0001:AlarmHigh, 23PT0001:AlarmLow, 23PT0001:AlarmLowLow, 23LV0001:ValveStemPosition, 23LV0002:ValveStemPosition, 23TV0003:ValveStemPosition, 23UV0001:ValveStemPosition, 25ESV0001:ValveStemPosition, 23ESV0002:ValveStemPosition, 23ESV0003:ValveStemPosition, 23ESV0005:ValveStemPosition, 23KA0001_m:MachineSpeed
, mm, mm, barg, barg, barg, m3/h, C, , , , , , , , , , , , , fraction, fraction, fraction, fraction, fraction, fraction, fraction, fraction, rpm
001:58:48.00, 500.453, 1504.93, 22.6269, 22.7331, 50.2523, 8356.87, 43.6927, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.566534, 0.342847, 0.0263414, 0.0257249, 1, 1, 1, 1, 7885.28
001:59:24.00, 500.032, 1506.45, 22.7162, 21.8536, 50.3599, 9328.07, 44.8324, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.563339, 0.343659, 0.0310648, 0.00120359, 1, 1, 1, 1, 8077.94
002:00:00.00, 502.452, 1512.07, 25.2462, 25.9107, 50.3813, 9255.46, 44.3845, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.571597, 0.347059, 0.02674, 0.00307947, 1, 1, 1, 1, 8053.75
002:00:36.00, 495.832, 1495.71, 24.1773, 23.2373, 50.4695, 10086.1, 45.5567, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.555162, 0.33914, 0.0309075, 0, 1, 1, 1, 1, 8310.58
002:01:12.00, 497.739, 1490.77, 24.186, 24.8664, 50.3477, 9073.56, 44.8296, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.559281, 0.336282, 0.0282102, 0.0130132, 1, 1, 1, 1, 7949.21
002:01:48.00, 506.774, 1507.66, 22.9861, 22.5472, 50.318, 8813.55, 44.2732, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.573818, 0.344515, 0.0280621, 0.00629911, 1, 1, 1, 1, 7966.36
002:02:24.00, 502.012, 1505.29, 25.5123, 25.4273, 50.4052, 9728.42, 46.2509, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.571258, 0.343925, 0.0336752, 0.00105127, 1, 1, 1, 1, 8280.66
002:03:00.00, 502.686, 1506.24, 23.9663, 24.4317, 50.2521, 8844.54, 43.4925, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.572053, 0.344666, 0.0254174, 0.0289204, 1, 1, 1, 1, 7972.61
002:03:36.00, 490.724, 1483.73, 25.9971, 26.3766, 50.4152, 9682.23, 44.7808, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.548336, 0.333188, 0.0287414, 0.00137505, 1, 1, 1, 1, 8257.96
002:04:12.00, 496.132, 1485.94, 25.4391, 24.8969, 50.4278, 9673.07, 44.832, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.552758, 0.333084, 0.0277624, 0, 1, 1, 1, 1, 8312.25
002:04:48.00, 503.197, 1490.86, 23.3106, 22.7684, 50.3374, 8877.59, 44.3045, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.56536, 0.334881, 0.0272319, 0, 1, 1, 1, 1, 7967.72
002:05:24.00, 505.783, 1503.79, 24.3845, 24.2121, 50.4129, 9403.38, 45.2029, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.577667, 0.341536, 0.0298992, 0, 1, 1, 1, 1, 8034.02
002:06:00.00, 495.966, 1499.48, 23.5776, 23.0794, 50.4589, 10245.7, 46.2395, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.560997, 0.339764, 0.035302, 0.0131711, 1, 1, 1, 1, 8233.4
002:06:36.00, 503.778, 1505.22, 22.6117, 22.6972, 50.25, 8101.41, 43.8137, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.571403, 0.342133, 0.0259295, 0.0159389, 1, 1, 1, 1, 7879.43
002:07:12.00, 502.435, 1499.36, 24.1537, 23.9778, 50.3684, 9063.31, 44.4671, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.569871, 0.339272, 0.0281865, 0, 1, 1, 1, 1, 8022.84
002:07:48.00, 505.994, 1508.3, 23.0835, 23.0377, 50.285, 8424.16, 44.1427, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.580224, 0.343941, 0.0267038, 0.0128352, 1, 1, 1, 1, 7849.61
002:08:24.00, 503.913, 1509.92, 22.4442, 22.1448, 50.3152, 9149.71, 44.2752, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.578813, 0.345163, 0.0303995, 0.0233827, 1, 1, 1, 1, 7985.55
002:09:00.00, 504.363, 1508.22, 23.3085, 22.9919, 50.323, 8954.02, 44.1718, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.577466, 0.344653, 0.0277844, 0.00428714, 1, 1, 1, 1, 8024.98
002:09:36.00, 512.887, 1517.1, 23.0241, 22.9783, 50.1845, 7635.18, 42.9543, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.598515, 0.349676, 0.0224154, 0.0299288, 1, 1, 1, 1, 7785.36
002:10:12.00, 499.189, 1498.47, 24.0206, 22.9947, 50.4943, 10366.1, 46.7584, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.574901, 0.340769, 0.0360741, 0, 1, 1, 1, 1, 8307.32
002:10:48.00, 502.217, 1507.09, 23.5888, 23.6802, 50.3598, 9452.73, 45.7691, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.58384, 0.34524, 0.032195, 0.0166126, 1, 1, 1, 1, 8041.9
002:11:24.00, 496.662, 1498.67, 23.8047, 23.4704, 50.4555, 10080.3, 45.5589, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.569957, 0.341289, 0.03179, 0.00131921, 1, 1, 1, 1, 8233.31
002:12:00.00, 503.595, 1510.45, 24.2861, 24.3174, 50.3964, 9637.65, 44.825, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.586514, 0.347668, 0.0279936, 0, 1, 1, 1, 1, 8094.51
002:12:36.00, 498.366, 1502.96, 24.18, 23.3679, 50.4673, 10037.8, 45.5966, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.576645, 0.344483, 0.0331452, 0, 1, 1, 1, 1, 8273.24
