Model Time, 23LT0001:MeasuredValue, 23LT0002:MeasuredValue, 23PT0001:MeasuredValue, 23PT0002:MeasuredValue, 23PT0003:MeasuredValue, 23FE0001:VolumeFlow, 23TT0003:MeasuredValue, 23LT0001:AlarmHighHigh, 23LT0001:AlarmLowLow, 23LT0001:AlarmHigh, 23LT0001:AlarmLow, 23LT0002:AlarmHighHigh, 23LT0002:AlarmHigh, 23LT0002:AlarmLow, 23LT0002:AlarmLowLow, 23PT0001:AlarmHighHigh, 23PT0001:AlarmHigh, 23PT0001:AlarmLow, 23PT0001:AlarmLowLow, 23LV0001:ValveStemPosition, 23LV0002:ValveStemPosition, 23TV0003:ValveStemPosition, 23UV0001:ValveStemPosition, 25ESV0001:ValveStemPosition, 23ESV0002:ValveStemPosition, 23ESV0003:ValveStemPosition, 23ESV0005:ValveStemPosition, 23KA0001_m:MachineSpeed
, mm, mm, barg, barg, barg, m3/h, C, , , , , , , , , , , , , fraction, fraction, fraction, fraction, fraction, fraction, fraction, fraction, rpm
004:55:48.00, 498.604, 1495.11, 24.1256, 23.6876, 50.5898, 11391.3, 45.1121, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.306298, 0.155785, 0.0363597, 0, 1, 1, 1, 1, 8750.03
004:56:24.00, 500.843, 1498.61, 24.0736, 23.6493, 50.5671, 11195.3, 44.9413, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.310097, 0.157386, 0.0356725, 0, 1, 1, 1, 1, 8699.1
004:57:00.00, 500.435, 1501.63, 24.0834, 23.6318, 50.5566, 11140.9, 44.9345, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.310655, 0.158924, 0.0355127, 0, 1, 1, 1, 1, 8696.68
004:57:36.00, 500.388, 1501.97, 24.1959, 23.8303, 50.5703, 11191.9, 44.969, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.309859, 0.159168, 0.0354697, 0, 1, 1, 1, 1, 8703.66
004:58:12.00, 502.033, 1503.28, 23.8079, 23.2612, 50.5503, 11165.6, 44.9327, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.313925, 0.159958, 0.0355634, 0, 1, 1, 1, 1, 8687.73
004:58:48.00, 501.025, 1503.86, 24.1672, 23.9649, 50.5618, 11125.9, 44.9649, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.312709, 0.160437, 0.0355123, 0.000530835, 1, 1, 1, 1, 8667.99
004:59:24.00, 500.403, 1504.51, 24.0562, 23.3843, 50.5643, 11186.9, 45.0029, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.311507, 0.161004, 0.0356682, 0, 1, 1, 1, 1, 8717.09
005:00:00.00, 500.208, 1504.86, 23.9979, 23.142, 50.5734, 11295.2, 45.1422, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.31211, 0.161552, 0.0361855, 0, 1, 1, 1, 1, 8747.84
005:00:36.00, 498.605, 1498.95, 24.158, 23.8049, 50.5905, 11378.1, 45.1533, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.308061, 0.158727, 0.0362668, 0.000228995, 1, 1, 1, 1, 8740.67
005:01:12.00, 499.808, 1497.02, 23.7439, 22.9448, 50.5531, 11212.4, 44.9403, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.30982, 0.157623, 0.0357319, 0, 1, 1, 1, 1, 8732.89
005:01:48.00, 499.024, 1497.48, 23.8139, 22.9893, 50.5616, 11261.5, 45.0418, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.307967, 0.15771, 0.03616, 0, 1, 1, 1, 1, 8742.07
005:02:24.00, 498.901, 1501.98, 24.0159, 23.3704, 50.5605, 11190.1, 44.968, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.307303, 0.159928, 0.0356431, 0, 1, 1, 1, 1, 8721
005:03:00.00, 500.044, 1502.37, 23.7716, 23.316, 50.5379, 11077.4, 44.8443, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.309044, 0.160227, 0.035374, 0, 1, 1, 1, 1, 8663.95
005:03:36.00, 497.702, 1496.07, 24.0363, 23.4387, 50.5835, 11386.9, 45.1482, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.304237, 0.157066, 0.0364201, 0, 1, 1, 1, 1, 8759.83
005:04:12.00, 499.049, 1495.71, 23.8273, 23.1774, 50.5583, 11238.5, 44.9683, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.305381, 0.156601, 0.0358352, 0, 1, 1, 1, 1, 8730.08
005:04:48.00, 499.03, 1500.56, 24.1619, 23.5162, 50.5815, 11311.6, 45.1152, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.305873, 0.159003, 0.0361782, 0, 1, 1, 1, 1, 8748.86
005:05:24.00, 501.105, 1500.34, 23.8744, 23.2078, 50.5576, 11194.7, 44.9936, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.309108, 0.158857, 0.0358669, 0, 1, 1, 1, 1, 8716.35
005:06:00.00, 501.009, 1501.01, 23.9198, 23.2619, 50.5597, 11207.2, 45.0352, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.309347, 0.159183, 0.0358848, 0, 1, 1, 1, 1, 8715.25
005:06:36.00, 500.601, 1502, 24.2115, 23.8759, 50.5782, 11251.1, 45.0944, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.309128, 0.159803, 0.0361169, 0, 1, 1, 1, 1, 8702.76
005:07:12.00, 498.383, 1494.96, 24.0016, 23.4934, 50.5761, 11341.1, 45.1072, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.304688, 0.15619, 0.0363831, 0, 1, 1, 1, 1, 8745.17
005:07:48.00, 497.296, 1489.83, 24.0211, 23.3748, 50.5852, 11407.9, 45.1302, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.300383, 0.153128, 0.0365317, 0, 1, 1, 1, 1, 8785.98
005:08:24.00, 500.53, 1495.76, 23.7066, 22.9154, 50.5417, 11128.6, 44.883, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.306005, 0.155618, 0.0357817, 0, 1, 1, 1, 1, 8706.78
005:09:00.00, 501.282, 1497.54, 24.0003, 23.3951, 50.5688, 11265.5, 44.958, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.308365, 0.156346, 0.035779, 0, 1, 1, 1, 1, 8737.41
005:09:36.00, 500.861, 1497.31, 23.8303, 23.2939, 50.5577, 11230.3, 44.9454, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.307469, 0.156022, 0.0358602, 0, 1, 1, 1, 1, 8714.86
005:10:12.00, 499.74, 1496.35, 24.091, 23.8324, 50.5778, 11303.9, 45.054, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.305489, 0.155335, 0.0362164, 0.00124641, 1, 1, 1, 1, 8717.72
005:10:48.00, 498.584, 1493.97, 23.7131, 22.8099, 50.5603, 11288.9, 44.9485, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.302205, 0.153814, 0.0360435, 0, 1, 1, 1, 1, 8765.82
005:11:24.00, 500.852, 1499.95, 23.962, 23.6579, 50.5605, 11199.2, 44.9214, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.30716, 0.156643, 0.0359157, 0, 1, 1, 1, 1, 8693.6
